M_GeV T_GeV <g0>/T
1.000000000000000056e-01 1.000000000000000000e+02 2.458933831635180117e-02
1.000000000000000056e-01 1.023531021899025859e+02 2.369342334825494736e-02
1.000000000000000056e-01 1.047615752789664043e+02 2.291645653489543522e-02
1.000000000000000056e-01 1.072267222010323167e+02 2.201901951519022807e-02
1.000000000000000056e-01 1.097498765493055686e+02 2.113412922528847340e-02
1.000000000000000056e-01 1.123324032978026565e+02 2.028935668795291136e-02
1.000000000000000056e-01 1.149756995397735579e+02 1.950417510024569923e-02
1.000000000000000056e-01 1.176811952434997863e+02 1.879965636917456037e-02
1.000000000000000056e-01 1.204503540258782408e+02 1.817218665775525294e-02
1.000000000000000056e-01 1.232846739442065882e+02 1.761174368940909493e-02
1.000000000000000056e-01 1.261856883066019748e+02 1.712642545759047313e-02
1.000000000000000056e-01 1.291549665014883885e+02 1.666845322466615348e-02
1.000000000000000056e-01 1.321941148466028721e+02 1.625652166645049149e-02
1.000000000000000056e-01 1.353047774579807481e+02 1.589201304971913850e-02
1.000000000000000056e-01 1.384886371393873219e+02 1.560272754629060850e-02
1.000000000000000056e-01 1.417474162926804695e+02 1.531844969317240623e-02
1.000000000000000056e-01 1.450828778495940128e+02 1.525989314253434030e-02
1.000000000000000056e-01 1.484968262254465117e+02 1.548173370630385494e-02
1.000000000000000056e-01 1.519911082952933157e+02 1.485104796878652413e-02
1.000000000000000056e-01 1.555676143930472222e+02 1.379597955983344164e-02
1.000000000000000056e-01 1.592282793341092315e+02 1.269528585858833124e-02
1.000000000000000056e-01 1.629750834620643332e+02 1.153429035781159025e-02
1.000000000000000056e-01 1.668100537200059250e+02 1.100253358673353860e-02
1.000000000000000056e-01 1.707352647470690385e+02 1.090768337684262616e-02
1.000000000000000056e-01 1.747528400007682876e+02 1.081379302346205037e-02
1.000000000000000056e-01 1.788649529057435075e+02 1.074831114609153815e-02
1.000000000000000056e-01 1.830738280295367701e+02 1.070501280040207261e-02
1.000000000000000056e-01 1.873817422860383033e+02 1.068450938115984676e-02
1.000000000000000056e-01 1.917910261672488730e+02 1.066454490988383644e-02
1.000000000000000056e-01 1.963040650040270521e+02 1.065406727837052946e-02
1.000000000000000056e-01 2.009233002565045751e+02 1.065049612361854831e-02
1.000000000000000056e-01 2.056512308348651459e+02 1.065049640038329831e-02
1.000000000000000056e-01 2.104904144512019855e+02 1.066090768148161318e-02
1.000000000000000056e-01 2.154434690031882269e+02 1.066090793494583674e-02
1.000000000000000056e-01 2.205130739903045480e+02 1.069417225260010235e-02
1.000000000000000056e-01 2.257019719633919124e+02 1.069417248767344682e-02
1.000000000000000056e-01 2.310129700083157900e+02 1.069417271206397381e-02
1.000000000000000056e-01 2.364489412645407072e+02 1.073345825165582246e-02
1.000000000000000056e-01 2.420128264794381039e+02 1.073345845760025757e-02
1.000000000000000056e-01 2.477076355991711409e+02 1.077760708405475602e-02
1.000000000000000056e-01 2.535364493970111539e+02 1.077760727289023973e-02
1.000000000000000056e-01 2.595024211399737055e+02 1.077760745314378273e-02
1.000000000000000056e-01 2.656087782946686957e+02 1.082171548838396780e-02
1.000000000000000056e-01 2.718588242732940330e+02 1.082171565336694820e-02
1.000000000000000056e-01 2.782559402207126027e+02 1.086276254011662827e-02
1.000000000000000056e-01 2.848035868435802058e+02 1.086276269064662819e-02
1.000000000000000056e-01 2.915053062825175516e+02 1.086276283433535231e-02
1.000000000000000056e-01 2.983647240283340238e+02 1.090123791854191032e-02
1.000000000000000056e-01 3.053855508833415797e+02 1.090123804951532473e-02
1.000000000000000056e-01 3.125715849688235153e+02 1.093509131266332847e-02
1.000000000000000056e-01 3.199267137797384635e+02 1.093509143194777884e-02
1.000000000000000056e-01 3.274549162877728463e+02 1.096517294191495448e-02
1.000000000000000056e-01 3.351602650938841066e+02 1.096517305056516657e-02
1.000000000000000056e-01 3.430469286314919373e+02 1.096517315427731482e-02
1.000000000000000056e-01 3.511191734215130964e+02 1.099139752013090013e-02
1.000000000000000056e-01 3.593813663804625662e+02 1.099139761461195505e-02
1.000000000000000056e-01 3.678379771828634262e+02 1.101364828865212912e-02
1.000000000000000056e-01 3.764935806792467474e+02 1.101364837473389410e-02
1.000000000000000056e-01 3.853528593710527161e+02 1.101364845690323661e-02
1.000000000000000056e-01 3.944206059437656222e+02 1.103027609202958566e-02
1.000000000000000056e-01 4.037017258596553688e+02 1.103027616683001887e-02
1.000000000000000056e-01 4.132012400115334572e+02 1.104323006678242444e-02
