M_GeV T_GeV <g1>/T
1.000000000000000056e-01 1.000000000000000000e+02 1.756481927667661799e-02
1.000000000000000056e-01 1.023531021899025859e+02 1.694359856966012531e-02
1.000000000000000056e-01 1.047615752789664043e+02 1.641115472317776144e-02
1.000000000000000056e-01 1.072267222010323167e+02 1.580293933507393236e-02
1.000000000000000056e-01 1.097498765493055686e+02 1.521210852638085059e-02
1.000000000000000056e-01 1.123324032978026565e+02 1.465669860051607883e-02
1.000000000000000056e-01 1.149756995397735579e+02 1.414672513996216748e-02
1.000000000000000056e-01 1.176811952434997863e+02 1.368741031903422320e-02
1.000000000000000056e-01 1.204503540258782408e+02 1.328345080728447584e-02
1.000000000000000056e-01 1.232846739442065882e+02 1.291999442021538047e-02
1.000000000000000056e-01 1.261856883066019748e+02 1.260328629602060560e-02
1.000000000000000056e-01 1.291549665014883885e+02 1.230197092616517468e-02
1.000000000000000056e-01 1.321941148466028721e+02 1.203501702206090374e-02
1.000000000000000056e-01 1.353047774579807481e+02 1.180290180199513109e-02
1.000000000000000056e-01 1.384886371393873219e+02 1.162222454840152082e-02
1.000000000000000056e-01 1.417474162926804695e+02 1.143865575880352245e-02
1.000000000000000056e-01 1.450828778495940128e+02 1.140847555411056771e-02
1.000000000000000056e-01 1.484968262254465117e+02 1.156958616701037751e-02
1.000000000000000056e-01 1.519911082952933157e+02 1.111560458076319736e-02
1.000000000000000056e-01 1.555676143930472222e+02 1.032954191358522074e-02
1.000000000000000056e-01 1.592282793341092315e+02 9.427232755957189875e-03
1.000000000000000056e-01 1.629750834620643332e+02 9.047956137511191030e-03
1.000000000000000056e-01 1.668100537200059250e+02 8.921817649399230860e-03
1.000000000000000056e-01 1.707352647470690385e+02 8.850109262203068386e-03
1.000000000000000056e-01 1.747528400007682876e+02 8.776659978734552628e-03
1.000000000000000056e-01 1.788649529057435075e+02 8.722575147439301860e-03
1.000000000000000056e-01 1.830738280295367701e+02 8.683559706244242324e-03
1.000000000000000056e-01 1.873817422860383033e+02 8.662375001281499148e-03
1.000000000000000056e-01 1.917910261672488730e+02 8.640055234658680292e-03
1.000000000000000056e-01 1.963040650040270521e+02 8.624615058260221706e-03
1.000000000000000056e-01 2.009233002565045751e+02 8.616330703764515583e-03
1.000000000000000056e-01 2.056512308348651459e+02 8.616330837224212003e-03
1.000000000000000056e-01 2.104904144512019570e+02 8.606252214908804293e-03
1.000000000000000056e-01 2.154434690031882269e+02 8.606252336993832144e-03
1.000000000000000056e-01 2.205130739903045480e+02 8.612994153290681049e-03
1.000000000000000056e-01 2.257019719633919124e+02 8.612994266420455694e-03
1.000000000000000056e-01 2.310129700083157900e+02 8.612994374409115375e-03
1.000000000000000056e-01 2.364489412645407072e+02 8.626139696674181567e-03
1.000000000000000056e-01 2.420128264794381039e+02 8.626139795702102847e-03
1.000000000000000056e-01 2.477076355991711409e+02 8.643955604170064713e-03
