M_GeV T_GeV <S1>/T
1.000000000000000056e-01 1.000000000000000000e+02 3.589980902528309596e-06
1.000000000000000056e-01 1.023531021899025859e+02 3.100962678776561893e-06
1.000000000000000056e-01 1.047615752789664043e+02 2.670318450481843891e-06
1.000000000000000056e-01 1.072267222010323167e+02 2.291539092580336080e-06
1.000000000000000056e-01 1.097498765493055686e+02 1.958828166350102529e-06
1.000000000000000056e-01 1.123324032978026565e+02 1.667022389451191043e-06
1.000000000000000056e-01 1.149756995397735579e+02 1.411523985750189797e-06
1.000000000000000056e-01 1.176811952434997863e+02 1.188239587778854036e-06
1.000000000000000056e-01 1.204503540258782408e+02 9.935258101694257778e-07
1.000000000000000056e-01 1.232846739442065882e+02 8.241402611218759846e-07
1.000000000000000056e-01 1.261856883066019748e+02 6.771989339079673293e-07
1.000000000000000056e-01 1.291549665014883885e+02 5.501377407916911322e-07
1.000000000000000056e-01 1.321941148466028721e+02 4.406794995217149969e-07
1.000000000000000056e-01 1.353047774579807481e+02 3.468045725359909315e-07
1.000000000000000056e-01 1.384886371393873219e+02 2.667268519737446480e-07
1.000000000000000056e-01 1.417474162926804695e+02 1.988735807006239340e-07
1.000000000000000056e-01 1.450828778495940128e+02 1.418720806232581853e-07
1.000000000000000056e-01 1.484968262254465117e+02 9.454620611852314767e-08
1.000000000000000056e-01 1.519911082952933157e+02 5.593541548250998992e-08
1.000000000000000056e-01 1.555676143930472222e+02 2.538512789749474925e-08
1.000000000000000056e-01 1.592282793341092315e+02 3.099276542149607044e-09
1.000000000000000056e-01 1.629750834620643332e+02 1.663648879639253748e-08
1.000000000000000056e-01 1.668100537200059250e+02 1.284344458084833099e-08
1.000000000000000056e-01 1.707352647470690385e+02 1.075873688242081662e-08
1.000000000000000056e-01 1.747528400007682876e+02 9.349139848552485825e-09
1.000000000000000056e-01 1.788649529057435075e+02 6.756601444298222595e-09
1.000000000000000056e-01 1.830738280295367701e+02 6.000608436678529561e-09
1.000000000000000056e-01 1.873817422860383033e+02 5.585152259819623784e-09
1.000000000000000056e-01 1.917910261672488730e+02 5.506525941489708977e-09
1.000000000000000056e-01 1.963040650040270521e+02 5.601813299070480945e-09
1.000000000000000056e-01 2.009233002565045751e+02 5.579761208363799511e-09
1.000000000000000056e-01 2.056512308348651459e+02 5.326164500296820039e-09
1.000000000000000056e-01 2.104904144512019570e+02 5.447500328473128895e-09
1.000000000000000056e-01 2.154434690031882269e+02 5.199913114829686414e-09
1.000000000000000056e-01 2.205130739903045480e+02 5.040061675530830111e-09
1.000000000000000056e-01 2.257019719633919124e+02 4.810990451836447964e-09
