T_GeV <gamma_LNC^(0)>/T <S_LNV^(0)>/T <gamma_LNC^(1)>/T <S_LNV^(2)>/T
1.000000000000000000e+07 8.754273673125862257e-03 4.456732490092812221e-02 6.992091675030798377e-03 2.564087148790075710e-02
7.906043210907701403e+06 8.790825633690281179e-03 4.436015525786185520e-02 7.019970507196425860e-03 2.550561837212274655e-02
6.250551925273976289e+06 8.828078114027073861e-03 4.425285726580799328e-02 7.048354761285009588e-03 2.545693148191153013e-02
4.941713361323838122e+06 8.866058248174874326e-03 4.415668472953248463e-02 7.077263561969563202e-03 2.541875636540946379e-02
3.906939937054621056e+06 8.904782402554288490e-03 4.400955217368848760e-02 7.106708293525131927e-03 2.533721992623837183e-02
3.088843596477478743e+06 8.944284847496753593e-03 4.390954774010018269e-02 7.136714010969775167e-03 2.529655731128151869e-02
2.442053094548649620e+06 8.984575757412452054e-03 4.378395589230069801e-02 7.167286633057499794e-03 2.523424210474806140e-02
1.930697728883249685e+06 9.025698318445999138e-03 4.367428809177528737e-02 7.198458074093185173e-03 2.518624841881523385e-02
1.526417967175233411e+06 9.067669102447325352e-03 4.355551217816398119e-02 7.230239027700703126e-03 2.513058024549835040e-02
1.206792640639328863e+06 9.121375767692859945e-03 4.340445293905531576e-02 7.270859029137370644e-03 2.506020751922086176e-02
9.540954763499944238e+05 9.165369010275941156e-03 4.328264243199358985e-02 7.304093150097961187e-03 2.500360025408235667e-02
7.543120063354606973e+05 9.210317587965064640e-03 4.315929075501562934e-02 7.338013227695481394e-03 2.494593517573653538e-02
5.963623316594636999e+05 9.256244575323938073e-03 4.303529422979107677e-02 7.372636222983073098e-03 2.488836082323421864e-02
4.714866363457389525e+05 9.302198780796466782e-03 4.291093075970806719e-02 7.407470023203533045e-03 2.483107415675502722e-02
3.727593720314938109e+05 9.349175659849891240e-03 4.278396525374942444e-02 7.443043449132572160e-03 2.477225285997758722e-02
2.947051702551809722e+05 9.397214282892016324e-03 4.265391853055529314e-02 7.479384476062553473e-03 2.471186696594509721e-02
2.329951810515371908e+05 9.446362481402263353e-03 4.252405719622937702e-02 7.516527545002532097e-03 2.465189075779979783e-02
1.842069969326716382e+05 9.496647327907125485e-03 4.238999822887100366e-02 7.554491125095181593e-03 2.458974934868350323e-02
1.456348477501244342e+05 9.547905331726188813e-03 4.225452602275514558e-02 7.593200392288634339e-03 2.452712046586949524e-02
1.151395399326448096e+05 9.600015109740076338e-03 4.211794599293051250e-02 7.632598263459926605e-03 2.446410342824574882e-02
9.102981779915226798e+04 9.653390313587639771e-03 4.197943802737077318e-02 7.672912745301550125e-03 2.440025087482454100e-02
7.196856730011528998e+04 9.708084972145434102e-03 4.183869087459044650e-02 7.714183795960916426e-03 2.433543504177329564e-02
5.689866029018293193e+04 9.764144589463860310e-03 4.169462932419705503e-02 7.756444312999102690e-03 2.426898490062975172e-02
4.498432668969444057e+04 9.821361475438552049e-03 4.154591518177300213e-02 7.799594038367212157e-03 2.420019025091269677e-02
3.556480306223128719e+04 9.879683462767139060e-03 4.139890185550853391e-02 7.843618147191970535e-03 2.413257902550209125e-02
2.811768697974230963e+04 9.954726036936352093e-03 4.120320564250148226e-02 7.900205876949889863e-03 2.404111309662622376e-02
2.222996482526195541e+04 1.001655337400421397e-02 4.104643972406216146e-02 7.946781311468718856e-03 2.396816842876497294e-02
1.757510624854789421e+04 1.008003730146203938e-02 4.087644439902392290e-02 7.994563964521620228e-03 2.388792911806859876e-02
1.389495494373135989e+04 1.014524260304934013e-02 4.071747431650354215e-02 8.043601805238062910e-03 2.381405836712185628e-02
1.098541141987557239e+04 1.021221880857605194e-02 4.052813558774708003e-02 8.093934574727842252e-03 2.372326270875563248e-02
8.685113737513520391e+03 1.028101972724678771e-02 4.036264266129684780e-02 8.145606050055532316e-03 2.364585154126607261e-02
6.866488450042998011e+03 1.035129735685451184e-02 4.017559523142424927e-02 8.198440589020845534e-03 2.355668620736147204e-02
5.428675439323859791e+03 1.042244218635703795e-02 4.003991710258767572e-02 8.252122792025324421e-03 2.349618343678686397e-02
4.291934260128778078e+03 1.049530431164174410e-02 3.985151323951374724e-02 8.307112325521287186e-03 2.340615484134285842e-02
3.393221771895329766e+03 1.056972733734308847e-02 3.965031406162694561e-02 8.363326986678446331e-03 2.330894275126943471e-02
2.682695795279724734e+03 1.064499603742398610e-02 3.942912123205263852e-02 8.420365774340708709e-03 2.320012842527891320e-02
2.120950887920190326e+03 1.072063187352716683e-02 3.927085370742555703e-02 8.477937043960872762e-03 2.312552121178162307e-02
1.676832936811008267e+03 1.079593927510253890e-02 3.908746844078845456e-02 8.535595668665726943e-03 2.303512540984412049e-02
1.325711365590108244e+03 1.086929773533983415e-02 3.893967533337940046e-02 8.592346347512483037e-03 2.296302250964412164e-02
1.048113134154685213e+03 1.093805415896609116e-02 3.882088516074715112e-02 8.646550383270548354e-03 2.290373114816409567e-02
8.286427728546842673e+02 1.099799553244065926e-02 3.875471645532069936e-02 8.695600842810954217e-03 2.286865658507273441e-02
6.551285568595509403e+02 1.105031481374789057e-02 3.880592693133348009e-02 8.743377517398787102e-03 2.288706631070486219e-02
5.179474679231212804e+02 1.106181884633905890e-02 3.900964421014720129e-02 8.763310240798681192e-03 2.297535895934640915e-02
4.094915062380427457e+02 1.103012530891574194e-02 3.944739330151683654e-02 8.757536025958368928e-03 2.316585994146962840e-02
3.237457542817639933e+02 1.093485000027953451e-02 4.022051632334546628e-02 8.715500695197093625e-03 2.349587103524443735e-02
2.559547922699533160e+02 1.077722417145774401e-02 4.197654741801495892e-02 8.643771658712705655e-03 2.426411001366078624e-02
2.023589647725155487e+02 1.064990845406874227e-02 3.866540612237113345e-02 8.616047421004587037e-03 2.241913698936980753e-02
1.599858719606057207e+02 1.134801268284146153e-02 8.876253158043272140e-02 9.173488379674459015e-03 5.088141052150273180e-02
1.264855216855295765e+02 1.028234198894874100e-02 1.620142151568143118e+00 8.340306377587919720e-03 1.353222467940976337e+00
1.000000000000000000e+02 1.333204422958565380e-02 5.926696575943581458e+00 1.030821938532679345e-02 4.982860036902188483e+00
