 log(Tmax/T) T/MeV k/T
 0.000000e+00 0.100000e+11 0.157720e-01
 0.000000e+00 0.100000e+11 0.262867e-01
 0.000000e+00 0.100000e+11 0.368014e-01
 0.000000e+00 0.100000e+11 0.473161e-01
 0.000000e+00 0.100000e+11 0.578308e-01
 0.000000e+00 0.100000e+11 0.683455e-01
 0.000000e+00 0.100000e+11 0.788602e-01
 0.000000e+00 0.100000e+11 0.893749e-01
 0.000000e+00 0.100000e+11 0.998896e-01
 0.000000e+00 0.100000e+11 0.110404e+00
 0.000000e+00 0.100000e+11 0.120919e+00
 0.000000e+00 0.100000e+11 0.131434e+00
 0.000000e+00 0.100000e+11 0.141948e+00
 0.000000e+00 0.100000e+11 0.152463e+00
 0.000000e+00 0.100000e+11 0.162978e+00
 0.000000e+00 0.100000e+11 0.173492e+00
 0.000000e+00 0.100000e+11 0.184007e+00
 0.000000e+00 0.100000e+11 0.194522e+00
 0.000000e+00 0.100000e+11 0.205036e+00
 0.000000e+00 0.100000e+11 0.215551e+00
 0.000000e+00 0.100000e+11 0.226066e+00
 0.000000e+00 0.100000e+11 0.236581e+00
 0.000000e+00 0.100000e+11 0.247095e+00
 0.000000e+00 0.100000e+11 0.257610e+00
 0.000000e+00 0.100000e+11 0.268125e+00
 0.000000e+00 0.100000e+11 0.278639e+00
 0.000000e+00 0.100000e+11 0.289154e+00
 0.000000e+00 0.100000e+11 0.299669e+00
 0.000000e+00 0.100000e+11 0.310183e+00
 0.000000e+00 0.100000e+11 0.320698e+00
 0.000000e+00 0.100000e+11 0.331213e+00
 0.000000e+00 0.100000e+11 0.341727e+00
 0.000000e+00 0.100000e+11 0.352242e+00
 0.000000e+00 0.100000e+11 0.362757e+00
 0.000000e+00 0.100000e+11 0.373272e+00
 0.000000e+00 0.100000e+11 0.383786e+00
 0.000000e+00 0.100000e+11 0.394301e+00
 0.000000e+00 0.100000e+11 0.404816e+00
 0.000000e+00 0.100000e+11 0.415330e+00
 0.000000e+00 0.100000e+11 0.425845e+00
 0.000000e+00 0.100000e+11 0.436360e+00
 0.000000e+00 0.100000e+11 0.446874e+00
 0.000000e+00 0.100000e+11 0.457389e+00
 0.000000e+00 0.100000e+11 0.467904e+00
 0.000000e+00 0.100000e+11 0.478418e+00
 0.000000e+00 0.100000e+11 0.488933e+00
 0.000000e+00 0.100000e+11 0.499448e+00
 0.000000e+00 0.100000e+11 0.509963e+00
 0.000000e+00 0.100000e+11 0.520477e+00
 0.000000e+00 0.100000e+11 0.530992e+00
 0.000000e+00 0.100000e+11 0.541507e+00
 0.000000e+00 0.100000e+11 0.552021e+00
 0.000000e+00 0.100000e+11 0.562536e+00
 0.000000e+00 0.100000e+11 0.573051e+00
 0.000000e+00 0.100000e+11 0.583565e+00
 0.000000e+00 0.100000e+11 0.594080e+00
 0.000000e+00 0.100000e+11 0.604595e+00
 0.000000e+00 0.100000e+11 0.615109e+00
