 Q11 Q12 Q21 Q22
 0.138385e+04 0.138385e+04 0.138385e+04 0.138385e+04
 0.875155e+03 0.875155e+03 0.875155e+03 0.875155e+03
 0.511555e+03 0.511555e+03 0.511555e+03 0.511555e+03
 0.314266e+03 0.314266e+03 0.314266e+03 0.314266e+03
 0.204318e+03 0.204318e+03 0.204318e+03 0.204318e+03
 0.139379e+03 0.139379e+03 0.139379e+03 0.139379e+03
 0.989005e+02 0.989005e+02 0.989005e+02 0.989005e+02
 0.724722e+02 0.724722e+02 0.724722e+02 0.724722e+02
 0.545282e+02 0.545282e+02 0.545282e+02 0.545282e+02
 0.419428e+02 0.419428e+02 0.419428e+02 0.419428e+02
 0.328626e+02 0.328626e+02 0.328626e+02 0.328626e+02
 0.261593e+02 0.261593e+02 0.261593e+02 0.261593e+02
 0.211064e+02 0.211064e+02 0.211064e+02 0.211064e+02
 0.172301e+02 0.172301e+02 0.172301e+02 0.172301e+02
 0.142098e+02 0.142098e+02 0.142098e+02 0.142098e+02
 0.118259e+02 0.118259e+02 0.118259e+02 0.118259e+02
 0.992064e+01 0.992064e+01 0.992064e+01 0.992064e+01
 0.838069e+01 0.838069e+01 0.838069e+01 0.838069e+01
 0.712351e+01 0.712351e+01 0.712351e+01 0.712351e+01
 0.608933e+01 0.608933e+01 0.608933e+01 0.608933e+01
 0.523051e+01 0.523051e+01 0.523051e+01 0.523051e+01
 0.451304e+01 0.451304e+01 0.451304e+01 0.451304e+01
 0.390922e+01 0.390922e+01 0.390922e+01 0.390922e+01
 0.339773e+01 0.339773e+01 0.339773e+01 0.339773e+01
 0.296195e+01 0.296195e+01 0.296195e+01 0.296195e+01
 0.258898e+01 0.258898e+01 0.258898e+01 0.258898e+01
 0.226825e+01 0.226825e+01 0.226825e+01 0.226825e+01
 0.199107e+01 0.199107e+01 0.199107e+01 0.199107e+01
 0.175037e+01 0.175037e+01 0.175037e+01 0.175037e+01
 0.156565e+01 0.156565e+01 0.156565e+01 0.156565e+01
 0.140511e+01 0.140511e+01 0.140511e+01 0.140511e+01
 0.126505e+01 0.126505e+01 0.126505e+01 0.126505e+01
 0.114234e+01 0.114234e+01 0.114234e+01 0.114234e+01
 0.103450e+01 0.103450e+01 0.103450e+01 0.103450e+01
 0.939354e+00 0.939354e+00 0.939354e+00 0.939354e+00
 0.855141e+00 0.855141e+00 0.855141e+00 0.855141e+00
 0.780427e+00 0.780427e+00 0.780427e+00 0.780427e+00
 0.713879e+00 0.713879e+00 0.713879e+00 0.713879e+00
 0.654501e+00 0.654501e+00 0.654501e+00 0.654501e+00
 0.601341e+00 0.601341e+00 0.601341e+00 0.601341e+00
 0.553646e+00 0.553646e+00 0.553646e+00 0.553646e+00
 0.510727e+00 0.510727e+00 0.510727e+00 0.510727e+00
 0.472033e+00 0.472033e+00 0.472033e+00 0.472033e+00
 0.437063e+00 0.437063e+00 0.437063e+00 0.437063e+00
 0.405390e+00 0.405390e+00 0.405390e+00 0.405390e+00
 0.376643e+00 0.376643e+00 0.376643e+00 0.376643e+00
 0.350501e+00 0.350501e+00 0.350501e+00 0.350501e+00
 0.326680e+00 0.326680e+00 0.326680e+00 0.326680e+00
 0.304932e+00 0.304932e+00 0.304932e+00 0.304932e+00
 0.285044e+00 0.285044e+00 0.285044e+00 0.285044e+00
 0.266825e+00 0.266825e+00 0.266825e+00 0.266825e+00
 0.250106e+00 0.250106e+00 0.250106e+00 0.250106e+00
 0.234740e+00 0.234740e+00 0.234740e+00 0.234740e+00
 0.220594e+00 0.220594e+00 0.220594e+00 0.220594e+00
 0.207552e+00 0.207552e+00 0.207552e+00 0.207552e+00
