 Q11 Q12 Q21 Q22
 0.385272e+01 0.385272e+01 0.385272e+01 0.385272e+01
 0.412962e+01 0.412962e+01 0.412962e+01 0.412962e+01
 0.345003e+01 0.345003e+01 0.345003e+01 0.345003e+01
 0.279227e+01 0.279227e+01 0.279227e+01 0.279227e+01
 0.227762e+01 0.227762e+01 0.227762e+01 0.227762e+01
 0.188677e+01 0.188677e+01 0.188677e+01 0.188677e+01
 0.158768e+01 0.158768e+01 0.158768e+01 0.158768e+01
 0.124763e+01 0.124763e+01 0.124763e+01 0.124763e+01
 0.990266e+00 0.990266e+00 0.990266e+00 0.990266e+00
 0.808221e+00 0.808221e+00 0.808221e+00 0.808221e+00
 0.674763e+00 0.674763e+00 0.674763e+00 0.674763e+00
 0.573953e+00 0.573953e+00 0.573953e+00 0.573953e+00
 0.495849e+00 0.495849e+00 0.495849e+00 0.495849e+00
 0.434010e+00 0.434010e+00 0.434010e+00 0.434010e+00
 0.384120e+00 0.384120e+00 0.384120e+00 0.384120e+00
 0.343207e+00 0.343207e+00 0.343207e+00 0.343207e+00
 0.309174e+00 0.309174e+00 0.309174e+00 0.309174e+00
 0.280503e+00 0.280503e+00 0.280503e+00 0.280503e+00
 0.256080e+00 0.256080e+00 0.256080e+00 0.256080e+00
 0.235069e+00 0.235069e+00 0.235069e+00 0.235069e+00
 0.216832e+00 0.216832e+00 0.216832e+00 0.216832e+00
 0.200878e+00 0.200878e+00 0.200878e+00 0.200878e+00
 0.186820e+00 0.186820e+00 0.186820e+00 0.186820e+00
 0.174355e+00 0.174355e+00 0.174355e+00 0.174355e+00
 0.163236e+00 0.163236e+00 0.163236e+00 0.163236e+00
 0.153267e+00 0.153267e+00 0.153267e+00 0.153267e+00
 0.144284e+00 0.144284e+00 0.144284e+00 0.144284e+00
 0.136156e+00 0.136156e+00 0.136156e+00 0.136156e+00
 0.128769e+00 0.128769e+00 0.128769e+00 0.128769e+00
 0.122033e+00 0.122033e+00 0.122033e+00 0.122033e+00
 0.115868e+00 0.115868e+00 0.115868e+00 0.115868e+00
 0.110208e+00 0.110208e+00 0.110208e+00 0.110208e+00
 0.104996e+00 0.104996e+00 0.104996e+00 0.104996e+00
 0.100183e+00 0.100183e+00 0.100183e+00 0.100183e+00
 0.957287e-01 0.957287e-01 0.957287e-01 0.957287e-01
 0.915950e-01 0.915950e-01 0.915950e-01 0.915950e-01
 0.877506e-01 0.877506e-01 0.877506e-01 0.877506e-01
 0.841677e-01 0.841677e-01 0.841677e-01 0.841677e-01
