 R11 R12 R21 R22
 -0.599508e+03 -0.599508e+03 -0.599508e+03 -0.599508e+03
 -0.376297e+03 -0.376297e+03 -0.376297e+03 -0.376297e+03
 -0.212000e+03 -0.212000e+03 -0.212000e+03 -0.212000e+03
 -0.126083e+03 -0.126083e+03 -0.126083e+03 -0.126083e+03
 -0.799028e+02 -0.799028e+02 -0.799028e+02 -0.799028e+02
 -0.534479e+02 -0.534479e+02 -0.534479e+02 -0.534479e+02
 -0.373585e+02 -0.373585e+02 -0.373585e+02 -0.373585e+02
 -0.270599e+02 -0.270599e+02 -0.270599e+02 -0.270599e+02
 -0.201795e+02 -0.201795e+02 -0.201795e+02 -0.201795e+02
 -0.154162e+02 -0.154162e+02 -0.154162e+02 -0.154162e+02
 -0.120165e+02 -0.120165e+02 -0.120165e+02 -0.120165e+02
 -0.952742e+01 -0.952742e+01 -0.952742e+01 -0.952742e+01
 -0.766425e+01 -0.766425e+01 -0.766425e+01 -0.766425e+01
 -0.624290e+01 -0.624290e+01 -0.624290e+01 -0.624290e+01
 -0.514040e+01 -0.514040e+01 -0.514040e+01 -0.514040e+01
 -0.427270e+01 -0.427270e+01 -0.427270e+01 -0.427270e+01
 -0.358082e+01 -0.358082e+01 -0.358082e+01 -0.358082e+01
 -0.302263e+01 -0.302263e+01 -0.302263e+01 -0.302263e+01
 -0.256734e+01 -0.256734e+01 -0.256734e+01 -0.256734e+01
 -0.219303e+01 -0.219303e+01 -0.219303e+01 -0.219303e+01
 -0.188207e+01 -0.188207e+01 -0.188207e+01 -0.188207e+01
 -0.162213e+01 -0.162213e+01 -0.162213e+01 -0.162213e+01
 -0.140314e+01 -0.140314e+01 -0.140314e+01 -0.140314e+01
 -0.121739e+01 -0.121739e+01 -0.121739e+01 -0.121739e+01
 -0.105893e+01 -0.105893e+01 -0.105893e+01 -0.105893e+01
 -0.923049e+00 -0.923049e+00 -0.923049e+00 -0.923049e+00
 -0.805950e+00 -0.805950e+00 -0.805950e+00 -0.805950e+00
 -0.704518e+00 -0.704518e+00 -0.704518e+00 -0.704518e+00
 -0.616235e+00 -0.616235e+00 -0.616235e+00 -0.616235e+00
 -0.551521e+00 -0.551521e+00 -0.551521e+00 -0.551521e+00
 -0.495227e+00 -0.495227e+00 -0.495227e+00 -0.495227e+00
 -0.446102e+00 -0.446102e+00 -0.446102e+00 -0.446102e+00
 -0.403025e+00 -0.403025e+00 -0.403025e+00 -0.403025e+00
 -0.365143e+00 -0.365143e+00 -0.365143e+00 -0.365143e+00
 -0.331696e+00 -0.331696e+00 -0.331696e+00 -0.331696e+00
 -0.302073e+00 -0.302073e+00 -0.302073e+00 -0.302073e+00
 -0.275779e+00 -0.275779e+00 -0.275779e+00 -0.275779e+00
 -0.252339e+00 -0.252339e+00 -0.252339e+00 -0.252339e+00
 -0.231417e+00 -0.231417e+00 -0.231417e+00 -0.231417e+00
 -0.212676e+00 -0.212676e+00 -0.212676e+00 -0.212676e+00
 -0.195854e+00 -0.195854e+00 -0.195854e+00 -0.195854e+00
 -0.180708e+00 -0.180708e+00 -0.180708e+00 -0.180708e+00
 -0.167049e+00 -0.167049e+00 -0.167049e+00 -0.167049e+00
 -0.154698e+00 -0.154698e+00 -0.154698e+00 -0.154698e+00
 -0.143510e+00 -0.143510e+00 -0.143510e+00 -0.143510e+00
 -0.133350e+00 -0.133350e+00 -0.133350e+00 -0.133350e+00
 -0.124110e+00 -0.124110e+00 -0.124110e+00 -0.124110e+00
 -0.115688e+00 -0.115688e+00 -0.115688e+00 -0.115688e+00
 -0.107996e+00 -0.107996e+00 -0.107996e+00 -0.107996e+00
 -0.100962e+00 -0.100962e+00 -0.100962e+00 -0.100962e+00
 -0.945174e-01 -0.945174e-01 -0.945174e-01 -0.945174e-01
 -0.886025e-01 -0.886025e-01 -0.886025e-01 -0.886025e-01
 -0.831657e-01 -0.831657e-01 -0.831657e-01 -0.831657e-01
 -0.781604e-01 -0.781604e-01 -0.781604e-01 -0.781604e-01
 -0.735451e-01 -0.735451e-01 -0.735451e-01 -0.735451e-01
 -0.692841e-01 -0.692841e-01 -0.692841e-01 -0.692841e-01
 -0.653447e-01 -0.653447e-01 -0.653447e-01 -0.653447e-01
 -0.616976e-01 -0.616976e-01 -0.616976e-01 -0.616976e-01
 -0.583163e-01 -0.583163e-01 -0.583163e-01 -0.583163e-01
 -0.482611e-01 -0.482611e-01 -0.482611e-01 -0.482611e-01
 -0.354559e-01 -0.354559e-01 -0.354559e-01 -0.354559e-01
 -0.264165e-01 -0.264165e-01 -0.264165e-01 -0.264165e-01
 -0.201473e-01 -0.201473e-01 -0.201473e-01 -0.201473e-01
 -0.156796e-01 -0.156796e-01 -0.156796e-01 -0.156796e-01
 -0.124197e-01 -0.124197e-01 -0.124197e-01 -0.124197e-01
 -0.999137e-02 -0.999137e-02 -0.999137e-02 -0.999137e-02
 -0.814920e-02 -0.814920e-02 -0.814920e-02 -0.814920e-02
 -0.672880e-02 -0.672880e-02 -0.672880e-02 -0.672880e-02
 -0.561758e-02 -0.561758e-02 -0.561758e-02 -0.561758e-02
 -0.473676e-02 -0.473676e-02 -0.473676e-02 -0.473676e-02
 -0.403023e-02 -0.403023e-02 -0.403023e-02 -0.403023e-02
 -0.345736e-02 -0.345736e-02 -0.345736e-02 -0.345736e-02
 -0.298826e-02 -0.298826e-02 -0.298826e-02 -0.298826e-02
 -0.260064e-02 -0.260064e-02 -0.260064e-02 -0.260064e-02
 -0.227766e-02 -0.227766e-02 -0.227766e-02 -0.227766e-02
 -0.200647e-02 -0.200647e-02 -0.200647e-02 -0.200647e-02
 -0.177714e-02 -0.177714e-02 -0.177714e-02 -0.177714e-02
 -0.158190e-02 -0.158190e-02 -0.158190e-02 -0.158190e-02
 -0.141468e-02 -0.141468e-02 -0.141468e-02 -0.141468e-02
 -0.127061e-02 -0.127061e-02 -0.127061e-02 -0.127061e-02
 -0.114582e-02 -0.114582e-02 -0.114582e-02 -0.114582e-02
 -0.103719e-02 -0.103719e-02 -0.103719e-02 -0.103719e-02
 -0.942177e-03 -0.942177e-03 -0.942177e-03 -0.942177e-03
 -0.858696e-03 -0.858696e-03 -0.858696e-03 -0.858696e-03
 -0.785041e-03 -0.785041e-03 -0.785041e-03 -0.785041e-03
 -0.719798e-03 -0.719798e-03 -0.719798e-03 -0.719798e-03
