 R11 R12 R21 R22
 -0.135805e+01 -0.135805e+01 -0.135805e+01 -0.135805e+01
 -0.141210e+01 -0.141210e+01 -0.141210e+01 -0.141210e+01
 -0.106617e+01 -0.106617e+01 -0.106617e+01 -0.106617e+01
 -0.733135e+00 -0.733135e+00 -0.733135e+00 -0.733135e+00
 -0.472739e+00 -0.472739e+00 -0.472739e+00 -0.472739e+00
 -0.327295e+00 -0.327295e+00 -0.327295e+00 -0.327295e+00
 -0.238614e+00 -0.238614e+00 -0.238614e+00 -0.238614e+00
 -0.180966e+00 -0.180966e+00 -0.180966e+00 -0.180966e+00
 -0.141610e+00 -0.141610e+00 -0.141610e+00 -0.141610e+00
 -0.113678e+00 -0.113678e+00 -0.113678e+00 -0.113678e+00
 -0.932200e-01 -0.932200e-01 -0.932200e-01 -0.932200e-01
 -0.778370e-01 -0.778370e-01 -0.778370e-01 -0.778370e-01
 -0.660110e-01 -0.660110e-01 -0.660110e-01 -0.660110e-01
 -0.567446e-01 -0.567446e-01 -0.567446e-01 -0.567446e-01
 -0.493627e-01 -0.493627e-01 -0.493627e-01 -0.493627e-01
 -0.433960e-01 -0.433960e-01 -0.433960e-01 -0.433960e-01
 -0.385106e-01 -0.385106e-01 -0.385106e-01 -0.385106e-01
 -0.344643e-01 -0.344643e-01 -0.344643e-01 -0.344643e-01
 -0.310780e-01 -0.310780e-01 -0.310780e-01 -0.310780e-01
 -0.282175e-01 -0.282175e-01 -0.282175e-01 -0.282175e-01
 -0.257804e-01 -0.257804e-01 -0.257804e-01 -0.257804e-01
 -0.236878e-01 -0.236878e-01 -0.236878e-01 -0.236878e-01
 -0.218781e-01 -0.218781e-01 -0.218781e-01 -0.218781e-01
 -0.203028e-01 -0.203028e-01 -0.203028e-01 -0.203028e-01
 -0.189230e-01 -0.189230e-01 -0.189230e-01 -0.189230e-01
 -0.177077e-01 -0.177077e-01 -0.177077e-01 -0.177077e-01
 -0.166317e-01 -0.166317e-01 -0.166317e-01 -0.166317e-01
 -0.156742e-01 -0.156742e-01 -0.156742e-01 -0.156742e-01
 -0.148183e-01 -0.148183e-01 -0.148183e-01 -0.148183e-01
 -0.140499e-01 -0.140499e-01 -0.140499e-01 -0.140499e-01
 -0.133573e-01 -0.133573e-01 -0.133573e-01 -0.133573e-01
 -0.127307e-01 -0.127307e-01 -0.127307e-01 -0.127307e-01
 -0.121616e-01 -0.121616e-01 -0.121616e-01 -0.121616e-01
 -0.116431e-01 -0.116431e-01 -0.116431e-01 -0.116431e-01
 -0.111692e-01 -0.111692e-01 -0.111692e-01 -0.111692e-01
 -0.107347e-01 -0.107347e-01 -0.107347e-01 -0.107347e-01
 -0.103352e-01 -0.103352e-01 -0.103352e-01 -0.103352e-01
 -0.996686e-02 -0.996686e-02 -0.996686e-02 -0.996686e-02
 -0.962638e-02 -0.962638e-02 -0.962638e-02 -0.962638e-02
 -0.931086e-02 -0.931086e-02 -0.931086e-02 -0.931086e-02
 -0.901780e-02 -0.901780e-02 -0.901780e-02 -0.901780e-02
 -0.874499e-02 -0.874499e-02 -0.874499e-02 -0.874499e-02
 -0.849047e-02 -0.849047e-02 -0.849047e-02 -0.849047e-02
